source,target,weight
76561198038226512,76561198220496544,1.0
76561198100652320,76561198114219712,1.0
76561198157196288,76561198229468352,1.0
76561198136626576,76561198448983024,1.0
76561198057059312,76561198179724192,1.0
76561198046595808,76561198122709024,1.0
76561198009914640,76561199203331680,1.0
76561198422976288,76561199095656448,1.0
76561198033707824,76561198393371728,1.0
76561198115785440,76561198170587344,1.0
76561198152562992,76561198163183216,1.0
76561198078659280,76561198128182448,1.0
76561198073807904,76561199066141120,1.0
76561198207772752,76561198221392160,1.0
76561198061911360,76561198107830192,1.0
76561197991465920,76561198004855984,1.0
76561198081763376,76561198168969776,1.0
76561198032543424,76561198066534432,1.0
76561198048958512,76561198352314192,1.0
76561198102522480,76561198419617152,1.0
76561198106769120,76561198149601664,1.0
76561198038110080,76561198255824656,1.0
76561198075265008,76561198137215168,1.0
76561198114219712,76561198309427184,1.0
76561198089059952,76561198423592992,1.0
76561198146706032,76561198158988224,1.0
76561198039568976,76561198089465264,1.0
76561197960320352,76561198243434800,1.0
76561198102522480,76561198268417440,1.0
76561198144024272,76561198324023888,1.0
76561198153012496,76561198178518336,1.0
76561198081281472,76561198177393360,1.0
76561198068975520,76561198188686224,1.0
76561197991071920,76561198044950800,1.0
76561198085405952,76561198131135056,1.0
76561198796663520,76561199439054976,1.0
76561198042291776,76561198352291088,1.0
76561198126790384,76561198142702576,1.0
76561197979705472,76561198090625344,1.0
76561198146682496,76561198178518336,1.0
76561198156550416,76561198207641200,1.0
76561198062694144,76561198157492512,1.0
76561198005994544,76561198053135600,1.0
76561198090688512,76561198268417440,1.0
76561198085018192,76561198127339648,1.0
76561198086921824,76561198242138176,1.0
76561198136233088,76561198141985936,1.0
76561198025073872,76561198042905312,1.0
76561198041112896,76561198150177648,1.0
76561198141985936,76561198228283616,1.0
76561198065058496,76561198294300464,1.0
76561198126390080,76561198220496544,1.0
76561198050826768,76561198318081104,1.0
76561198135667824,76561198392950480,1.0
76561198061911360,76561198196583952,1.0
76561198093912064,76561198297988768,1.0
76561198061911360,76561198287974624,1.0
76561198092577648,76561198280714304,1.0
76561198067558048,76561198091572480,1.0
76561198039989952,76561198169257424,1.0
76561198195614480,76561199439046256,1.0
76561198303210688,76561198384212512,1.0
76561198114021968,76561198214747360,1.0
76561198076657424,76561198390372160,1.0
76561198026871248,76561198044077008,1.0
76561198084623792,76561198085405952,1.0
76561198198565792,76561198275212320,1.0
76561198045324496,76561198273873728,1.0
76561198090689216,76561198095988128,1.0
76561198286136032,76561198350768016,1.0
76561198095073824,76561198131097792,1.0
76561198081281472,76561199031443984,1.0
76561198066735248,76561198831176800,1.0
76561198005994544,76561198105895296,1.0
76561198040546512,76561198152562992,1.0
76561197970001056,76561198131135056,1.0
76561198106176688,76561198125649248,1.0
76561197973430880,76561198093810736,1.0
76561198046562144,76561198201085024,1.0
76561198108143200,76561198117233888,1.0
76561198124149040,76561198139880656,1.0
76561198117818880,76561198136090944,1.0
76561198245354624,76561198278732720,1.0
76561198131835472,76561198144546672,1.0
76561197964782864,76561198346202880,1.0
76561198124563200,76561198254944336,1.0
76561198012516160,76561198040365808,1.0
76561198073866016,76561198149857424,1.0
76561198116364576,76561198207712112,1.0
76561198096079552,76561198117233888,1.0
76561198092057424,76561198130409536,1.0
76561198115785440,76561198117137728,1.0
76561198005710080,76561198136889184,1.0
76561198166574752,76561198402569824,1.0
76561198191784480,76561198390372160,1.0
76561198198565792,76561198254716608,1.0
76561198129380736,76561198188042368,1.0
76561198085405952,76561198106493952,1.0
76561198009979328,76561198257791712,1.0
76561198076624640,76561198128283344,1.0
76561198101021728,76561198154291408,1.0
76561198185160496,76561198304695120,1.0
76561198133988112,76561198177263264,1.0
76561197997829728,76561198112184784,1.0
76561198117137728,76561198855090384,1.0
76561198024287168,76561198147928688,1.0
76561198316333984,76561198862545040,1.0
76561198120348096,76561198284444960,1.0
76561198157196288,76561198317783440,1.0
76561198151100112,76561198352314192,1.0
76561198220261312,76561198354934896,1.0
76561198083699328,76561198346202880,1.0
76561198050868112,76561198292437920,1.0
76561198047045664,76561198270212064,1.0
76561198117818880,76561198134909728,1.0
76561198065188016,76561198110966192,1.0
76561198036138800,76561198166899136,1.0
76561198012635536,76561198169961088,1.0
76561197987358848,76561198178188496,1.0
76561198085405952,76561198308186832,1.0
76561198981331040,76561199418876032,1.0
76561198051547072,76561198164681760,1.0
76561198062941280,76561198169832336,1.0
76561198261032304,76561198309427184,1.0
76561197991071920,76561198084172384,1.0
76561198022194576,76561198116543216,1.0
76561198267017968,76561198273767696,1.0
76561198083747120,76561198203851360,1.0
