id,louvain,leiden,spectral,hybrid,label
76561198096354240,0,0,1,0,
76561198142702576,0,0,1,0,
76561198190046752,0,0,1,0,
76561199203331680,1,2,0,5,
76561198092057424,0,0,0,0,
76561198246665472,2,0,0,6,
76561198162784288,2,1,0,6,
76561198419185760,1,2,0,5,
76561198083699328,2,2,0,8,
76561198139271488,2,1,0,6,
76561198287677184,1,2,0,5,
76561198977770336,1,2,0,5,
76561198051329824,0,0,1,1,
76561198208032416,2,1,0,6,
76561198255414272,1,2,0,4,
76561198274581664,2,1,0,8,
76561198072882064,1,2,0,4,
76561198328944400,1,2,0,4,
76561198050991952,1,2,0,5,
76561198198991360,2,1,0,8,
76561198032543424,1,2,0,5,
76561198066534432,1,2,0,4,
76561198012516160,1,2,0,5,
76561198280553808,1,2,0,5,
76561198067818384,2,1,0,6,
76561198157196288,0,0,1,0,
76561198110187040,0,0,2,0,
76561198122709024,0,0,1,0,
76561198037085952,1,2,0,3,
76561198109376976,1,2,0,3,
76561198080259728,0,1,0,0,
76561198135993152,2,1,0,6,
76561198217029744,2,0,0,6,
76561198448533040,2,1,0,8,
76561198124908736,2,1,0,8,
76561198304572048,1,2,0,5,
76561198350768016,0,0,1,0,
76561197964782864,1,2,0,3,
76561198085018192,1,2,0,5,
76561198036138800,1,2,0,5,
76561198120037344,1,2,0,4,
76561198075730160,1,2,0,3,
76561198274218832,2,1,0,8,
76561198060765936,1,2,0,3,
76561198127737968,1,2,0,5,
76561198275947376,1,2,0,4,
76561198117818880,1,2,0,5,
76561198267889536,1,2,0,3,
76561198030183056,1,2,0,3,
76561198110181824,0,0,1,0,
76561197973430880,0,0,1,0,
76561197990502240,1,2,0,4,
76561198054083536,1,2,0,3,
76561198130197712,1,2,0,5,
76561198067143520,2,0,0,6,
76561198152562992,2,1,0,6,
76561198154595936,0,1,0,0,
76561198251908256,0,0,0,0,
76561198144024272,2,1,0,8,
76561198190720224,1,2,0,3,
76561198043318512,0,1,0,0,
76561198094820480,1,2,0,5,
76561198074573376,0,0,1,0,
76561198273243696,0,0,0,0,
76561198009979328,0,0,0,0,
76561198121242752,2,1,0,6,
76561198135524240,0,0,0,0,
76561198147928688,0,0,0,0,
76561198097766176,2,0,0,8,
76561198256822720,0,1,0,0,
76561198023719168,2,1,0,8,
76561198032168448,0,0,1,0,
