u,v,prob
76561198131135056,76561198131835472,0.105
76561198131135056,76561198425844064,0.09
76561198402569824,76561198425844064,0.085
76561198131135056,76561199215293952,0.08
76561198038704256,76561198131135056,0.08
76561197972235760,76561198050868112,0.08
76561197965593264,76561198131135056,0.08
76561198064066160,76561198141985936,0.08
76561198050868112,76561198425844064,0.08
76561198090648880,76561198202826832,0.075
76561198074673296,76561198101021728,0.075
76561198425844064,76561199215293952,0.075
76561198062653680,76561198142702576,0.075
76561198131135056,76561198207412512,0.075
76561198076835776,76561198425844064,0.075
76561198291164464,76561198352291088,0.075
76561198136626576,76561198161198784,0.075
76561198064066160,76561198300655360,0.075
76561198050868112,76561199215293952,0.07
76561197994419072,76561199215293952,0.07
76561197989059776,76561198131135056,0.07
76561198160587920,76561198239166016,0.07
76561198131135056,76561198352314192,0.07
76561198131097792,76561198970315792,0.07
76561198039281216,76561198078659280,0.07
76561198060495936,76561198071948544,0.07
76561198131135056,76561198259640256,0.07
76561198136626576,76561199215293952,0.07
76561198101135760,76561198425844064,0.07
76561198064066160,76561198131835472,0.07
76561198001240496,76561198094820480,0.07
76561198028855328,76561198061798496,0.07
76561198131835472,76561198312615152,0.07
76561198076657424,76561198113419424,0.07
76561198061798496,76561198265273664,0.07
76561198076829248,76561198141985936,0.07
76561198131135056,76561198167001488,0.07
76561198075917104,76561198309427184,0.07
76561198191784480,76561198290906192,0.065
76561198131135056,76561198234721408,0.065
76561198155651648,76561198425844064,0.065
76561198220261312,76561198425844064,0.065
76561198120037344,76561198131835472,0.065
76561198195828352,76561198425844064,0.065
76561198101021728,76561198111120368,0.065
76561198039281216,76561198075917104,0.065
76561198057417392,76561198131135056,0.065
76561197994419072,76561198402569824,0.065
76561198081066464,76561198425844064,0.065
76561198073807904,76561198425844064,0.065
76561198097766176,76561198284313152,0.065
76561197994419072,76561198275947376,0.065
76561198309427184,76561198920359600,0.065
76561198116364576,76561198131135056,0.065
76561198093671808,76561198117818880,0.065
76561198101787584,76561198141985936,0.065
76561198030183056,76561198042663536,0.065
76561198131835472,76561198399564912,0.065
76561198047045808,76561198100664960,0.065
76561198039281216,76561198100664960,0.065
76561198081924544,76561198111120368,0.065
76561197997213680,76561198131135056,0.065
76561198130197712,76561198131135056,0.065
76561198044974480,76561199439054976,0.065
76561198042291776,76561198132321056,0.065
76561198032543424,76561198075917104,0.065
76561198066735248,76561198425844064,0.065
76561198136626576,76561198346800368,0.065
76561198048697456,76561198100664960,0.065
76561198002178704,76561198100652320,0.065
76561198039281216,76561198062694144,0.065
76561198061911360,76561198064066160,0.065
76561198074126736,76561198167001488,0.065
76561198047045808,76561198073826752,0.065
76561198012516160,76561198167001488,0.065
76561198067806768,76561198425844064,0.065
76561198066534432,76561198130197712,0.065
76561198048958512,76561198131135056,0.065
76561198141985936,76561198260954480,0.06
76561198136626576,76561198284961328,0.06
76561198050883120,76561198172168544,0.06
76561198402569824,76561199215293952,0.06
76561198130471872,76561198287963968,0.06
76561197994419072,76561198131835472,0.06
76561198042663536,76561198064066160,0.06
76561198054803936,76561198378193040,0.06
76561198061448688,76561198081924544,0.06
76561198116364576,76561198378193040,0.06
76561198112384000,76561199439054976,0.06
76561198136674816,76561198141985936,0.06
76561198131835472,76561198309427184,0.06
76561197994419072,76561198136626576,0.06
76561198071696864,76561198291164464,0.06
76561198167001488,76561198402569824,0.06
76561198064278176,76561198141985936,0.06
76561198109032256,76561198425844064,0.06
76561198061911360,76561198074673296,0.06
76561198064066160,76561198076835776,0.06
76561198122667872,76561198136626576,0.06
76561198131135056,76561198347475200,0.06
76561198012516160,76561198403301760,0.06
76561198124501632,76561198131835472,0.06
76561198130197712,76561199129536320,0.06
76561198050868112,76561198167001488,0.06
76561198124501632,76561198136626576,0.06
76561198039281216,76561198078166112,0.06
76561198054803936,76561198116364576,0.06
76561198041279712,76561198091402976,0.06
76561198131835472,76561198346800368,0.06
76561198064278176,76561198202826832,0.06
76561198307865344,76561198347397296,0.06
76561198309427184,76561198425844064,0.06
76561198012516160,76561198022194576,0.06
76561198091402976,76561198131135056,0.06
76561198042291776,76561198075917104,0.06
76561198078659280,76561198122667872,0.06
76561198115754240,76561198291164464,0.06
76561198054803936,76561198085018192,0.06
76561198130197712,76561198141985936,0.06
76561198123893344,76561198354934896,0.06
76561198038704256,76561198425844064,0.06
76561198022194576,76561198054803936,0.06
76561198136626576,76561198223004656,0.06
76561198061911360,76561198131135056,0.06
76561198112184784,76561198425844064,0.06
76561198064066160,76561198291164464,0.06
76561198128314896,76561198425844064,0.06
76561198061448688,76561198081066464,0.06
76561198116364576,76561199215293952,0.06
76561198122667872,76561198167001488,0.06
76561198062038272,76561198131835472,0.06
76561198038704256,76561199215293952,0.06
76561198030183056,76561198100652320,0.06
76561198076657424,76561198291164464,0.06
76561198054803936,76561198136626576,0.06
76561198062226256,76561198131135056,0.06
76561198075730160,76561198131135056,0.06
76561198014125568,76561198090648880,0.06
76561198073826752,76561198081066464,0.055
76561198131135056,76561198346512688,0.055
76561198117151904,76561198117818880,0.055
76561198113419424,76561198403301760,0.055
76561198081924544,76561198104009408,0.055
76561198327636736,76561199439054976,0.055
76561198064278176,76561198134983856,0.055
76561198101787584,76561198111120368,0.055
76561198112384000,76561198132321056,0.055
76561198060495936,76561198287963968,0.055
76561198042291776,76561198074673296,0.055
76561198050991952,76561198124501632,0.055
76561198101021728,76561198287963968,0.055
76561198136626576,76561198287963968,0.055
76561198149601664,76561198419185760,0.055
76561198136674816,76561198275947376,0.055
76561198064066160,76561198076657424,0.055
76561198064278176,76561198075917104,0.055
76561198130197712,76561198160587920,0.055
76561197965593264,76561198223004656,0.055
76561198050868112,76561198131135056,0.055
76561198131097792,76561198802359888,0.055
76561198045056176,76561198075730160,0.055
76561198078166112,76561198315294832,0.055
76561198074780112,76561198112384000,0.055
76561198100664960,76561198802359888,0.055
76561198085018192,76561198100652320,0.055
76561198002178704,76561198327636736,0.055
76561197999883872,76561198425844064,0.055
76561198038704256,76561198167001488,0.055
76561198062653680,76561198308186832,0.055
76561198050868112,76561198208032416,0.055
76561198085018192,76561198100664960,0.055
76561198191784480,76561198287963968,0.055
76561198128182448,76561198257791712,0.055
76561198075730160,76561198136626576,0.055
76561198014125568,76561198287963968,0.055
76561198105504976,76561198402569824,0.055
76561198131097792,76561198257791712,0.055
76561198022194576,76561199215293952,0.055
76561198078659280,76561198100664960,0.055
76561198071948544,76561198115754240,0.055
76561198346512688,76561198425844064,0.055
76561198002178704,76561198075730160,0.055
76561198208032416,76561198275947376,0.055
76561198039281216,76561198044974480,0.055
76561198032543424,76561198078659280,0.055
76561198062038272,76561198402569824,0.055
76561198074780112,76561198100652320,0.055
76561198105504976,76561198802359888,0.055
76561198048958512,76561198425844064,0.055
76561198130471872,76561198144024272,0.055
76561198074780112,76561198075917104,0.055
76561198076835776,76561198136626576,0.055
76561198048697456,76561198062694144,0.055
76561197977959376,76561199439054976,0.055
76561198049332784,76561198315294832,0.055
76561198102694624,76561198131135056,0.055
76561198012516160,76561198078166112,0.055
76561198012516160,76561198115754240,0.055
76561198095958016,76561198114219712,0.055
76561198064278176,76561198131835472,0.055
