user_id,steamid,profilestate,personaname,avatarfull,personastate,realname,primaryclanid,timecreated,loccountrycode,locstatecode
User1,76561198294300457,1.0,Sói Bé Tí,https://avatars.steamstatic.com/398550731145524545d97dd945832d9acbc9fa56_full.jpg,0.0,Mixigaming,1.0358279146473398e+17,1458929027.0,VN,05
User2,76561197973974836,1.0,Xemesis,https://avatars.steamstatic.com/3878009d0d4503e6288c3741e9cb4fa293cb2ece_full.jpg,0.0,Hieu Nghiem,1.0358279143969318e+17,1107715164.0,VN,
User3,76561197993609350,1.0,Mixi,https://avatars.steamstatic.com/8b2dd2c961f53665c1f081aa608660c4a2ef7334_full.jpg,0.0,❤ Mixi Nguyễn ❤,1.0358279145510994e+17,1192982556.0,VN,51
User4,76561198046562139,1.0,Hoàng Anh Gaming,https://avatars.steamstatic.com/fc5d8974fd3b0cd4519d382edd70e89172d6da5b_full.jpg,0.0,Hoàng Anh,1.035827914295214e+17,1312787346.0,VN,51
User5,76561198061953477,1.0,Shu Ku Chi,https://avatars.steamstatic.com/be6c9a69f3156eab6602951cc3d83cd05e4efc68_full.jpg,0.0,,1.0358279143426293e+17,1334397546.0,VN,51
User6,76561198062226249,1.0,LeoPard,https://avatars.steamstatic.com/7bc2f8a682b57c3375dafffac2ddf45097d79dd9_full.jpg,0.0,LeoPard,1.035827914299289e+17,1334832985.0,VN,51
User7,76561198076766555,1.0,MLCZ,https://avatars.steamstatic.com/3a2b3931537c2663ef6229bfd7751a41a288cdb6_full.jpg,0.0,LaggeR,1.035827914295214e+17,1353996003.0,LA,10
User8,76561198077186687,1.0,Wolf,https://avatars.steamstatic.com/253853f9a46ee20503303fcd4296d07777d2358a_full.jpg,0.0,,1.0358279145510994e+17,1354254337.0,VN,
User9,76561198097199951,1.0,BomK Tay Bế Con,https://avatars.steamstatic.com/7842f8538f738e06f133a1842266af25fe339c63_full.jpg,0.0,Mai Nam Hải,1.0358279145469629e+17,1373346723.0,VN,51
User10,76561198109776027,1.0,QuangDeag,https://avatars.steamstatic.com/fc95f1709d5c69b00c4f700e2fe9bcb9ae393238_full.jpg,1.0,,1.035827914295214e+17,1380938807.0,,
User11,76561198110181817,1.0,Alexander Khôi,https://avatars.steamstatic.com/adcc452bac4c193f55fc3d512c1d7abdfdc78d33_full.jpg,0.0,Blues,1.0358279146473398e+17,1381215112.0,VN,51
User12,76561198116685130,1.0,Stupid Monkey,https://avatars.steamstatic.com/4b529c29fedf7c34585e1475e81b12af34e760d8_full.jpg,0.0,Stupid Monkey™,1.035827914295214e+17,1385967163.0,VN,51
User13,76561198120611517,1.0,NAm,https://avatars.steamstatic.com/efcddff004f112fc1907c14694e19e0efc257105_full.jpg,0.0,,1.0358279143426293e+17,1388225724.0,VN,
User14,76561198128339070,1.0,Nhac,https://avatars.steamstatic.com/f4f2fc58620a769dfcc51defda89ed5cb8fa7d75_full.jpg,1.0,Nguyễn Đình Nhạc,1.035827914295214e+17,1393825111.0,FR,B5
User15,76561198134815732,1.0,Ơ,https://avatars.steamstatic.com/82753f1d1208ab3370631f8559baf05852def6aa_full.jpg,0.0,Kien Le,1.0358279145449837e+17,1398659787.0,VN,51
User16,76561198135035013,1.0,nauQ,https://avatars.steamstatic.com/7bbb0056e9a11c2918151721e3f453edb050d51f_full.jpg,0.0,,1.035827914365477e+17,1398833319.0,VN,51
User17,76561198138224835,1.0,,https://avatars.steamstatic.com/b0bb7f42fa321ddebce5a4432f88c2e9e7d459f4_full.jpg,0.0,,,,,
User18,76561198142069970,1.0,SnakeAsi4n,https://avatars.steamstatic.com/b3b1fb7a005a2e44092b7490cc9d41b00e704d20_full.jpg,0.0,,1.035827914295214e+17,1403702669.0,,
