steamid,communityvisibilitystate,profilestate,personaname,commentpermission,profileurl,avatarfull,personastate,realname,primaryclanid,timecreated,personastateflags,loccountrycode,locstatecode,loccityid,gameextrainfo,gameid,lobbysteamid,gameserverip,gameserversteamid,response
76561198294300457,3.0,1.0,Sói Bé Tí,2.0,https://steamcommunity.com/id/MixiGaming/,https://avatars.steamstatic.com/398550731145524545d97dd945832d9acbc9fa56_full.jpg,0.0,Mixigaming,103582791464733987,1458929027.0,0.0,VN,05,,,,,,,
76561197973974836,3.0,1.0,Xemesis,,https://steamcommunity.com/id/Xemesis/,https://avatars.steamstatic.com/3878009d0d4503e6288c3741e9cb4fa293cb2ece_full.jpg,0.0,Hieu Nghiem,103582791439693184,1107715164.0,0.0,VN,,,,,,,,
76561197993609350,3.0,1.0,Mixi,1.0,https://steamcommunity.com/id/mixinguyen/,https://avatars.steamstatic.com/8b2dd2c961f53665c1f081aa608660c4a2ef7334_full.jpg,0.0,❤ Mixi Nguyễn ❤,103582791455109943,1192982556.0,0.0,VN,51,,,,,,,
76561198046562139,3.0,1.0,Hoàng Anh Gaming,,https://steamcommunity.com/id/hoanganhnguyenha/,https://avatars.steamstatic.com/fc5d8974fd3b0cd4519d382edd70e89172d6da5b_full.jpg,0.0,Hoàng Anh,103582791429521408,1312787346.0,0.0,VN,51,,,,,,,
76561198061953477,3.0,1.0,Shu Ku Chi,1.0,https://steamcommunity.com/id/shu0ku0chi/,https://avatars.steamstatic.com/be6c9a69f3156eab6602951cc3d83cd05e4efc68_full.jpg,0.0,,103582791434262932,1334397546.0,0.0,VN,51,,,,,,,
76561198062226249,3.0,1.0,LeoPard,1.0,https://steamcommunity.com/id/efthunter/,https://avatars.steamstatic.com/7bc2f8a682b57c3375dafffac2ddf45097d79dd9_full.jpg,0.0,LeoPard,103582791429928897,1334832985.0,0.0,VN,51,,,,,,,
76561198076766555,3.0,1.0,MLCZ,1.0,https://steamcommunity.com/id/fighting1993/,https://avatars.steamstatic.com/3a2b3931537c2663ef6229bfd7751a41a288cdb6_full.jpg,0.0,LaggeR,103582791429521408,1353996003.0,0.0,LA,10,,,,,,,
76561198077186687,3.0,1.0,Wolf,1.0,https://steamcommunity.com/profiles/76561198077186687/,https://avatars.steamstatic.com/253853f9a46ee20503303fcd4296d07777d2358a_full.jpg,0.0,,103582791455109943,1354254337.0,0.0,VN,,,,,,,,
76561198097199951,3.0,1.0,BomK Tay Bế Con,2.0,https://steamcommunity.com/id/bomman/,https://avatars.steamstatic.com/7842f8538f738e06f133a1842266af25fe339c63_full.jpg,0.0,Mai Nam Hải,103582791454696280,1373346723.0,0.0,VN,51,,,,,,,
76561198109776027,3.0,1.0,QuangDeag,1.0,https://steamcommunity.com/id/kekwprotocol/,https://avatars.steamstatic.com/fc95f1709d5c69b00c4f700e2fe9bcb9ae393238_full.jpg,1.0,,103582791429521408,1380938807.0,0.0,,,,,,,,,
76561198110181817,3.0,1.0,Alexander Khôi,1.0,https://steamcommunity.com/id/lekhoi/,https://avatars.steamstatic.com/adcc452bac4c193f55fc3d512c1d7abdfdc78d33_full.jpg,0.0,Blues,103582791464733987,1381215112.0,0.0,VN,51,,,,,,,
76561198116685130,3.0,1.0,Stupid Monkey,1.0,https://steamcommunity.com/id/stupidmonkey123/,https://avatars.steamstatic.com/4b529c29fedf7c34585e1475e81b12af34e760d8_full.jpg,0.0,Stupid Monkey™,103582791429521408,1385967163.0,0.0,VN,51,,,,,,,
76561198120611517,3.0,1.0,NAm,1.0,https://steamcommunity.com/id/levannambk92/,https://avatars.steamstatic.com/efcddff004f112fc1907c14694e19e0efc257105_full.jpg,0.0,,103582791434262932,1388225724.0,0.0,VN,,,,,,,,
76561198128339070,3.0,1.0,Nhac,1.0,https://steamcommunity.com/id/nhacnguyen/,https://avatars.steamstatic.com/f4f2fc58620a769dfcc51defda89ed5cb8fa7d75_full.jpg,1.0,Nguyễn Đình Nhạc,103582791429521408,1393825111.0,0.0,FR,B5,15593.0,,,,,,
76561198134815732,3.0,1.0,Ơ,1.0,https://steamcommunity.com/id/kynnle/,https://avatars.steamstatic.com/82753f1d1208ab3370631f8559baf05852def6aa_full.jpg,0.0,Kien Le,103582791454498374,1398659787.0,0.0,VN,51,,,,,,,
76561198135035013,3.0,1.0,nauQ,1.0,https://steamcommunity.com/id/cogNnauQ/,https://avatars.steamstatic.com/7bbb0056e9a11c2918151721e3f453edb050d51f_full.jpg,0.0,,103582791436547697,1398833319.0,0.0,VN,51,,,,,,,
76561198138224835,1.0,1.0,,1.0,https://steamcommunity.com/id/baihoaitiensinh/,https://avatars.steamstatic.com/b0bb7f42fa321ddebce5a4432f88c2e9e7d459f4_full.jpg,0.0,,,,,,,,,,,,,
76561198142069970,3.0,1.0,SnakeAsi4n,1.0,https://steamcommunity.com/id/snakezoro/,https://avatars.steamstatic.com/b3b1fb7a005a2e44092b7490cc9d41b00e704d20_full.jpg,0.0,,103582791429521408,1403702669.0,0.0,,,,,,,,,
76561198142702580,3.0,1.0,Nobi Artwork Designer,1.0,https://steamcommunity.com/id/Nobi1997/,https://avatars.steamstatic.com/fa22dfdbf9170c2c4af12394c75bc17568c775a3_full.jpg,0.0,ᴄᴏᴍᴍᴇɴᴛ ʙᴇғᴏʀᴇ ᴀᴅᴅιɴɢ,103582791464733987,1404035486.0,0.0,JP,40,,,,,,,
76561198150471371,1.0,1.0,bronzeeeeeee,,https://steamcommunity.com/id/bostonnba2k10/,https://avatars.steamstatic.com/322c5364bce3bdea7891ecc1660d5e33a8c57e87_full.jpg,0.0,,,,,,,,,,,,,
76561198150960096,3.0,1.0,LinhDiemXa,,https://steamcommunity.com/profiles/76561198150960096/,https://avatars.steamstatic.com/ecab810932ea0b1f8abb700643d18b32e1aa072f_full.jpg,0.0,,103582791470524401,1408600144.0,0.0,VN,51,,,,,,,
76561198152856283,1.0,1.0,CrisDevilGamer,1.0,https://steamcommunity.com/id/CrisDevilGamer/,https://avatars.steamstatic.com/4d53b15b9a151631f6058a073eb7828f77031f14_full.jpg,0.0,,,,,,,,,,,,,
76561198153323364,3.0,1.0,13abyKnight,1.0,https://steamcommunity.com/profiles/76561198153323364/,https://avatars.steamstatic.com/723a19468551044bdc14260d1f13ffad0179e754_full.jpg,0.0,arrc,103582791429521408,1409970064.0,0.0,PH,,,,,,,,
76561198161230159,3.0,1.0,rhymastic,,https://steamcommunity.com/id/spaceboynevasleep/,https://avatars.steamstatic.com/2a00484a4b9b6fce946d3abb84595cd407ae54e2_full.jpg,0.0,Vu Duc Thien,103582791429521408,1414775642.0,0.0,VN,,,,,,,,
76561198176587449,3.0,1.0,Dangphethuoc,1.0,https://steamcommunity.com/id/hongnhanhoathuy1/,https://avatars.steamstatic.com/01c9bd8925a7bb890e7b435ccf67518536899d12_full.jpg,0.0,☞⊙ ๖ۣۜTien ⊙☜,103582791435090671,1422623173.0,0.0,US,NC,2873.0,,,,,,
76561198180898487,3.0,1.0,Billionaire,1.0,https://steamcommunity.com/id/virussop/,https://avatars.steamstatic.com/2c199e8be4dd1eca0f2e2def64ddcc93bdf9682a_full.jpg,0.0,ViruSs,103582791434262932,1424544344.0,0.0,,,,,,,,,
